Uniprot ID,molecule ID,output
P58252,CHEBI:37565,0
Q9CZL5,CHEBI:59560,1
Q9HT33,CHEBI:30864,1
P33025,CHEBI:17568,1
P38298,CHEBI:57756,1
P36086,CHEBI:57540,1
P15101,CHEBI:38290,1
Q3JZ68,CHEBI:58053,1
O18404,CHEBI:17347,1
Q5LL69,CHEBI:58090,0
O43029,CHEBI:57692,1
Q9V3K8,CHEBI:59789,1
P09158,CHEBI:326268,1
Q9JHG7,CHEBI:30616,1
Q9ZV56,CHEBI:37563,0
A0A140H9G2,CHEBI:18135,1
Q7Z4W1,CHEBI:58349,1
P0DTS9,CHEBI:57540,1
Q9BQG2,CHEBI:57540,1
P17169,CHEBI:58359,1
P17174,CHEBI:16810,1
P0A959,CHEBI:16810,0
Q9P7J8,C00002,1
Q9SF85,CHEBI:30616,1
O43716,CHEBI:30616,1
O60568,CHEBI:66914,1
P14550,CHEBI:13115,0
P46681,CHEBI:16004,1
P61006,CHEBI:37565,1
P0AGD1,CHEBI:18421,1
E9Q3E1,CHEBI:57540,1
G8BGN6,CHEBI:58349,1
Q7G193,CHEBI:17478,1
Q60714,C00712,0
Q9HAW8,CHEBI:58052,1
P9WKC5,CHEBI:17815,1
Q58806,CHEBI:57540,1
O24495,CHEBI:35627,1
P0ABD8,CHEBI:57288,1
Q9USK2,C00019,1
P80187,CHEBI:58319,1
P54838,CHEBI:16016,1
Q9XXK6,CHEBI:30616,1
Q27128,CHEBI:30616,0
P28331,CHEBI:16389,1
P14165,CHEBI:57288,1
A1Z9X0,C00002,1
P37294,CHEBI:58756,1
Q63151,CHEBI:32395,1
Q3LXA3,CHEBI:16016,1
Q9FLN9,CHEBI:57618,1
Q385M4,CHEBI:58349,1
P07277,CHEBI:30616,1
O49354,CHEBI:58373,1
P00968,CHEBI:58359,1
Q91WR5,CHEBI:58349,1
Q8IVS8,CHEBI:16659,1
Q9UKU0,CHEBI:57287,1
P09368,CHEBI:60039,1
P30967,CHEBI:59560,1
O00571,CHEBI:30616,1
Q6LZY8,C00353,1
Q59VY4,CHEBI:57477,1
A0A4Y1WAR4,CHEBI:59776,1
Q9HUZ8,C00058,1
P25740,C00029,0
P37887,CHEBI:33384,1
Q9CRB3,CHEBI:18072,1
Q96T68,C00019,1
Q8L707,CHEBI:15447,1
Q8U0Z8,CHEBI:18276,0
P0CX79,CHEBI:58048,1
E2D2R3,CHEBI:16808,1
Q93XP7,CHEBI:58885,1
F4KEV7,CHEBI:58243,1
Q8CDB0,C00002,1
O00571,C00063,0
F1RCN0,C00019,1
D3XD86,CHEBI:58052,1
Q387Q3,CHEBI:57540,1
Q9FXB2,CHEBI:17268,1
Q4WZ67,CHEBI:57912,1
A0A061I403,C00002,1
O35379,CHEBI:30616,1
Q75IS2,CHEBI:30616,1
Q9NVS9,CHEBI:58451,1
Q8ILY1,C00002,1
Q5NTH3,CHEBI:30616,1
E3VWI2,CHEBI:43474,1
Q4QGN0,CHEBI:57972,1
I3QNT3,CHEBI:29746,1
P55798,C02189,1
P04693,CHEBI:58315,1
P9WGK1,C00002,1
Q94A28,CHEBI:16947,1
P31660,C00024,1
P35250,C00002,1
P00358,CHEBI:59776,1
R4ZGN4,CHEBI:57540,1
Q8MQU6,C00001,1
G5EB65,CHEBI:16301,1
O23300,CHEBI:58543,1
Q7SXL4,C00002,1
A1B8Z3,CHEBI:57305,1
Q8ZP52,CHEBI:16947,1
Q42523,CHEBI:17544,1
Q9JHC0,CHEBI:57925,1
D3U715,CHEBI:58180,1
Q9UH17,CHEBI:15698,1
Q9R092,CHEBI:57540,1
Q8AYA1,CHEBI:18135,1
Q6QBS4,CHEBI:35146,1
Q47318,CHEBI:16947,1
Q9SQT8,CHEBI:58349,1
A0A1B0GWN9,CHEBI:29805,0
P00560,CHEBI:58272,0
P77567,CHEBI:57288,1
P06151,CHEBI:16651,1
D3ZVN7,CHEBI:57307,1
Q38893,CHEBI:48716,1
P21133,CHEBI:57390,1
B5SRV2,CHEBI:59888,1
Q14739,CHEBI:58349,1
Q56XG6,C00002,1
P0AG84,CHEBI:15734,1
Q86XP0,C00157,1
Q9Z1X2,CHEBI:33384,1
Q9NH52,C00019,1
P23908,CHEBI:57805,1
P80244,C00002,1
Q7T291,CHEBI:58311,1
P0A8J8,C00002,1
A9CES5,CHEBI:47693,1
O34453,CHEBI:57783,1
P83402,CHEBI:57540,1
Q9W2M2,CHEBI:16551,1
P10441,CHEBI:57957,1
O18373,CHEBI:30616,1
Q9M304,CHEBI:57379,1
Q9ZTA1,C00026,1
P32718,CHEBI:30616,1
P00334,CHEBI:15343,1
Q9PU44,C00535,1
Q383T6,CHEBI:57945,1
Q2RWK9,CHEBI:57925,1
Q6NLQ7,CHEBI:58121,1
P06700,C01997,1
Q2UP46,CHEBI:58315,1
Q059G6,CHEBI:58429,1
Q9Y2A9,CHEBI:57705,1
P44046,CHEBI:78847,1
B4FUP5,CHEBI:29748,1
C8V4E8,CHEBI:58349,1
C3JXY0,CHEBI:29991,1
P20095,C00002,1
Q9SJM7,CHEBI:17596,1
Q7SXS7,C00019,1
Q7RXM0,CHEBI:17057,1
P54824,C00002,1
P93831,CHEBI:59789,1
D3ZFJ0,CHEBI:30616,0
Q06147,CHEBI:30616,1
Q9KJ20,CHEBI:59789,1
Q8IWQ3,C00002,1
D3XD91,CHEBI:58052,1
Q14680,C00002,1
Q9VSL4,CHEBI:57925,1
P08430,CHEBI:58052,1
P39683,CHEBI:57502,1
O60135,C00002,1
P54874,CHEBI:57286,1
P05201,CHEBI:16810,1
P08417,CHEBI:15589,1
P42527,CHEBI:30616,1
P0CX20,C00002,1
Q599M3,CHEBI:15562,1
Q67BJ4,CHEBI:17950,1
Q9JHC0,CHEBI:16240,1
A2QSK3,CHEBI:58130,1
P23917,CHEBI:4208,1
Q27564,CHEBI:17748,1
P25856,CHEBI:59776,1
O77229,CHEBI:16240,1
Q67W82,CHEBI:30616,1
Q9VTH0,CHEBI:66914,1
P70182,CHEBI:30616,1
Q91XT9,CHEBI:52639,1
P47895,CHEBI:57540,1
Q9ULC5,CHEBI:57287,0
Q9ULC5,CHEBI:57287,1
F4IA25,CHEBI:58053,1
P34345,CHEBI:57925,1
P53839,CHEBI:29805,1
P35251,C00002,1
P38169,CHEBI:57959,1
P06801,CHEBI:58349,1
O60760,CHEBI:57405,1
Q3C1D5,CHEBI:57945,1
C8VAZ1,CHEBI:30616,1
G9F1Y9,CHEBI:57540,1
C0H4R1,CHEBI:30616,1
Q387Q3,CHEBI:58053,1
X2JGL7,CHEBI:57443,1
Q3C1E3,CHEBI:57945,1
Q9FIZ7,CHEBI:58402,1
P53049,C00001,1
Q9H1R3,CHEBI:30616,1
E7CG23,C00002,1
Q388T4,CHEBI:58601,1
P30665,C00002,1
Q9FK51,CHEBI:58336,1
Q9H8K7,CHEBI:30616,1
Q92EU4,CHEBI:59776,1
P54886,CHEBI:29985,1
P54886,CHEBI:43474,1
Q5ABG1,C00019,1
Q3U034,CHEBI:59789,1
F4K5T2,CHEBI:29919,1
Q8DTM1,CHEBI:58048,1
O09114,CHEBI:57405,1
Q9LVW7,CHEBI:30616,1
P19073,CHEBI:37565,1
Q5AGE4,CHEBI:58165,1
P0ACX5,CHEBI:15589,1
G5EAY3,CHEBI:30616,1
P28272,CHEBI:30864,1
Q9DBL7,CHEBI:57328,1
P0A6R0,CHEBI:57288,1
Q9I4X3,CHEBI:30616,1
Q9EQK7,CHEBI:59789,1
D3U715,CHEBI:29934,1
Q4Q8P6,CHEBI:57597,1
O02373,CHEBI:58885,1
Q61469,CHEBI:59996,1
A0A1D8PQT9,C00002,1
Q9Y2Q3,CHEBI:16240,1
O22248,CHEBI:35759,1
Q06609,C00002,0
P01574,CHEBI:57288,1
Q9C8D4,CHEBI:57287,1
P00358,CHEBI:57540,1
P9WGB7,CHEBI:57661,1
Q9CA40,CHEBI:143553,1
Q27979,CHEBI:57540,1
P31660,CHEBI:16452,1
Q39108,CHEBI:175763,0
P08879,C00002,1
Q39108,CHEBI:128769,1
Q7T2I8,CHEBI:57540,1
Q2FID4,CHEBI:57945,1
P60757,CHEBI:73183,1
P54226,CHEBI:57540,1
Q9SVU0,CHEBI:57783,1
P40151,C00002,1
Q9Y8C2,CHEBI:16301,1
F4IS54,CHEBI:30762,1
Q9LRR5,CHEBI:30616,1
P55073,CHEBI:16382,1
Q20065,C00026,1
Q9FNP9,CHEBI:58145,1
Q8NEJ0,C02189,1
Q14914,C00080,0
Q5L6R9,CHEBI:37565,1
Q27979,CHEBI:17336,1
D3XD92,CHEBI:58052,0
P09152,CHEBI:16301,1
Q4JC35,CHEBI:58298,1
Q3JZ68,CHEBI:29991,1
Q67W82,CHEBI:57287,1
Q9UKU0,CHEBI:30616,1
Q9I4X3,CHEBI:57287,1
S5N020,CHEBI:58668,0
Q9FK51,CHEBI:46398,1
Q60714,C00002,1
P0A6K6,CHEBI:57720,1
Q54PC2,CHEBI:29985,1
Q9MAC8,C00498,1
Q99873,C00019,1
Q9C5I1,CHEBI:57897,1
Q12676,CHEBI:29985,1
Q09751,CHEBI:57474,1
B1V8J3,C00026,1
Q91VE0,CHEBI:57287,1
O23299,CHEBI:58543,1
Q9JJN4,CHEBI:57292,1
Q60714,CHEBI:57287,1
P17988,CHEBI:58339,1
Q9SEL3,CHEBI:30623,0
Q92405,CHEBI:16240,1
Q03764,CHEBI:57603,1
O93827,CHEBI:37565,1
Q9EQS0,CHEBI:59776,1
Q9KJ21,CHEBI:57433,1
P0A0D2,CHEBI:30616,1
Q91ZV4,CHEBI:17389,1
Q12039,C00002,1
A3BMZ5,C00001,1
F4J9A0,CHEBI:29985,1
Q04081,C00019,1
Q66GP9,CHEBI:37565,1
P0A8G6,C00080,0
Q9W423,CHEBI:57756,1
Q922D8,CHEBI:57540,0
O08564,CHEBI:59996,1
A2AUU0,CHEBI:57288,1
P06779,C00002,1
P04176,CHEBI:58095,0
B2GV72,CHEBI:18378,1
Q07993,CHEBI:57540,1
Q39780,CHEBI:38290,1
P55228,CHEBI:58601,1
G9F1Y9,CHEBI:17968,1
P00954,CHEBI:57912,1
P47924,CHEBI:58121,1
P9WQH7,CHEBI:17544,1
G8B709,C00005,1
P30958,C00002,1
P07913,CHEBI:57926,1
P60906,CHEBI:57595,1
P05979,CHEBI:32395,1
O35795,CHEBI:456216,1
Q9LZ76,CHEBI:37563,1
P09601,CHEBI:57618,1
X5KCU3,C00535,0
Q8RWE8,CHEBI:58189,1
Q1R415,CHEBI:30616,1
Q9SJA7,CHEBI:57433,1
P0A959,CHEBI:57972,1
D3ZBE5,C00002,1
O14807,CHEBI:37565,1
A0A6L8PK77,CHEBI:58349,1
P18161,C00002,1
Q387W4,CHEBI:57527,1
O35704,CHEBI:57379,1
Q91VD9,CHEBI:57945,1
P0AGJ9,CHEBI:30616,1
O53720,CHEBI:30616,1
Q6NTJ3,C00002,1
P83645,CHEBI:57925,1
P13857,C00024,1
O95749,CHEBI:175763,1
P0AB77,CHEBI:57288,1
Q06136,CHEBI:57817,1
Q13177,C00002,1
Q47146,C00040,1
Q9H9V9,C00026,1
P33121,CHEBI:57287,1
O48676,CHEBI:58885,1
P0ABD8,CHEBI:17544,0
Q02763,C00002,1
V9GXK8,CHEBI:29032,1
Q922D8,CHEBI:30616,1
Q46BL0,CHEBI:57308,1
O00098,C00024,1
P54471,C00019,1
P0AB91,CHEBI:16897,1
P55039,CHEBI:37565,1
Q9GRG7,CHEBI:58349,1
Q6P1M0,CHEBI:30616,1
Q6PFW1,CHEBI:30616,1
P82281,CHEBI:38290,1
Q9UET6,C00019,0
Q06136,CHEBI:58349,1
Q9LL84,C00002,0
P47039,CHEBI:58672,1
O08651,CHEBI:57540,1
Q9T009,CHEBI:57287,1
A4YGN2,CHEBI:57392,1
Q8W3Z4,CHEBI:15441,1
P0A717,CHEBI:30616,1
P07895,CHEBI:18421,1
Q57YW0,CHEBI:57540,1
Q8VD48,CHEBI:17336,1
Q54UT2,CHEBI:17172,1
A0A1D8PRQ1,CHEBI:30616,1
Q9KJ21,CHEBI:58251,1
P33734,CHEBI:58475,1
J7GQ11,CHEBI:57504,1
O43776,CHEBI:58048,1
M9PBV2,CHEBI:58223,1
Q641Y2,CHEBI:16389,1
Q8C1A3,CHEBI:59789,1
Q9UNY4,C00002,1
D3ZC63,CHEBI:30616,1
A0A2R8QE72,CHEBI:58052,1
P96797,CHEBI:29118,1
P04176,CHEBI:59560,1
P30566,CHEBI:57567,1
P30566,CHEBI:57567,1
G1NJW1,C00002,1
Q9FX54,CHEBI:43474,1
Q39780,CHEBI:16240,1
Q17CS8,CHEBI:57959,1
P10902,C00049,0
Q5ZMF3,CHEBI:15698,1
P9WGT3,CHEBI:58349,1
Q79FV4,CHEBI:57524,1
P09124,CHEBI:43474,1
Q9P0Z9,CHEBI:61185,1
P04801,CHEBI:57926,0
P40360,CHEBI:57288,1
Q381V6,C00002,1
P78329,C00005,1
Q8GXZ5,C00002,1
P37677,CHEBI:30616,1
Q9XZT6,CHEBI:18274,1
P28040,C00677,1
Q8VZC3,CHEBI:17388,1
P41407,CHEBI:17296,1
Q9V521,C00355,1
Q3HUS0,CHEBI:58399,1
O69199,CHEBI:30616,1
P28820,CHEBI:29748,1
Q9Z330,CHEBI:59789,1
O33289,CHEBI:57288,1
Q5RIL8,CHEBI:57540,1
Q27487,CHEBI:16240,1
P04629,C00002,1
P00370,CHEBI:58349,1
P18163,CHEBI:30616,1
F4JJE0,CHEBI:37563,1
Q6BE25,CHEBI:15441,1
Q9F3C7,CHEBI:29256,1
O58010,CHEBI:57326,1
P41407,CHEBI:58349,1
Q38EH6,CHEBI:57443,1
Q653T6,CHEBI:128769,1
I3R7F1,CHEBI:30616,1
Q9ZKJ5,C00002,1
Q9SBR3,CHEBI:128769,1
O01916,CHEBI:64716,1
P25628,C00040,1
G9M9M3,C00026,1
A0A0W0CVV4,CHEBI:58409,1
Q9H8X2,CHEBI:30616,1
C8VAZ1,CHEBI:17544,1
P38132,C00002,1
O08701,CHEBI:32682,1
Q01217,CHEBI:44337,1
Q67W82,CHEBI:15669,1
P53982,CHEBI:15562,0
P00894,CHEBI:15361,1
Q29073,CHEBI:58349,1
Q6PFW1,CHEBI:58130,1
Q5SWU9,CHEBI:57288,1
Q977U7,C00221,0
Q32KD2,C00019,1
C1IC54,CHEBI:33227,1
Q5SNX7,CHEBI:18390,0
Q58247,C00044,1
B3GSH5,CHEBI:59789,1
Q8C015,C00002,1
G9M9M4,C00026,1
F4JGP6,CHEBI:71573,1
P46580,C00019,1
Q9FXB2,CHEBI:66914,1
Q8IDR8,CHEBI:16947,1
Q90WG6,CHEBI:37563,1
Q8LPK5,CHEBI:58885,1
Q9SMP5,CHEBI:136180,1
Q96SL4,CHEBI:16240,1
Q9FVQ6,C00005,1
Q9NXL9,C00002,1
P9WFX9,CHEBI:58866,1
P51601,CHEBI:37565,1
P09339,CHEBI:16947,1
Q64611,CHEBI:61085,1
P9WNF9,CHEBI:52052,1
Q9NUV7,CHEBI:33384,1
P04179,CHEBI:18421,1
O95045,CHEBI:43474,1
Q9SWG0,CHEBI:57345,1
Q91X52,CHEBI:17151,1
P54616,C00173,1
Q5RJI4,C00002,1
Q9SWG0,CHEBI:57692,1
Q00973,CHEBI:67138,1
Q9VV60,CHEBI:30616,0
P52824,CHEBI:17815,1
Q945B4,C00026,1
Q4QBG5,CHEBI:58189,1
Q9VQL6,CHEBI:57288,1
P52061,CHEBI:61402,1
P09110,CHEBI:30089,1
P47156,C00007,1
Q99JY0,CHEBI:57288,1
Q5B548,CHEBI:57756,1
Q9BZL6,C00002,1
Q38929,CHEBI:128769,1
Q00972,CHEBI:30616,1
P92983,CHEBI:60039,1
P82808,CHEBI:58359,1
P45799,C01469,1
Q8H151,CHEBI:30616,1
P31660,CHEBI:57392,1
Q980D1,CHEBI:30616,1
O46559,CHEBI:17855,1
Q12429,CHEBI:30616,1
Q9VGI4,C00002,1
O42768,CHEBI:356416,1
D5SL78,CHEBI:58057,1
P0AEC5,C00002,1
P55040,CHEBI:37565,1
Q388T4,CHEBI:46398,1
Q9BL15,C00019,1
Q9VU14,C00002,1
Q8CGR7,CHEBI:16704,1
P32718,CHEBI:40822,1
P18163,CHEBI:32395,1
Q3UQH5,CHEBI:16827,1
Q9Y6A2,CHEBI:16113,1
Q9Y227,CHEBI:58189,1
O08560,CHEBI:30616,1
P00360,CHEBI:57540,1
P31941,CHEBI:17562,1
P00815,CHEBI:59457,1
Q6XMI3,CHEBI:16150,1
O33289,CHEBI:29985,1
O60568,CHEBI:58885,1
O75251,CHEBI:16389,1
P97852,CHEBI:57540,1
P72131,C00003,1
Q6UPE0,CHEBI:15354,1
P47895,CHEBI:15035,1
P31660,C00001,1
P33993,C00002,1
O76268,CHEBI:58223,1
Q6P6Y3,CHEBI:57618,1
P00334,CHEBI:57287,1
O00571,C00002,1
A0A1D8PRM0,C00024,1
P9WKA7,CHEBI:17135,1
G5EAS9,CHEBI:58349,1
D3ZW08,CHEBI:58443,1
I3QNT6,CHEBI:29746,1
E9QYP0,CHEBI:16269,1
Q86H13,CHEBI:58165,1
Q3MHS3,CHEBI:17347,1
O54753,CHEBI:57540,1
Q8NSH7,CHEBI:57392,1
X5L1L5,C00535,1
G3V6K6,C00002,1
P33644,CHEBI:17509,1
Q9STG9,CHEBI:58681,1
P52020,CHEBI:57618,1
P27987,CHEBI:30616,1
Q9JMH6,CHEBI:58349,1
Q99PS2,C00002,1
Q02046,CHEBI:15636,1
Q97W92,CHEBI:58756,1
P08244,CHEBI:57538,1
G5EE56,C00002,1
P00962,CHEBI:30616,1
O30508,CHEBI:16810,1
P55073,CHEBI:57261,1
O14832,CHEBI:16810,1
Q5B0L2,CHEBI:16240,1
Q58297,C00186,0
Q04739,C00002,0
Q8RQP9,CHEBI:57540,1
O75828,CHEBI:58349,1
Q60587,CHEBI:57288,1
Q92781,CHEBI:18011,1
P79384,CHEBI:30616,1
P32883,CHEBI:37565,1
C6KIE6,CHEBI:37565,1
P09147,CHEBI:58885,1
P0ADR6,C00019,1
Q9LQK0,CHEBI:37565,1
Q8NCW6,C00203,1
Q63151,CHEBI:30616,1
P09671,CHEBI:18421,1
P9WQ35,CHEBI:30616,1
Q8T5G8,CHEBI:57705,1
Q63572,C00002,1
O93658,CHEBI:58389,1
P37887,CHEBI:58340,1
P9WNS1,CHEBI:58349,0
P77682,CHEBI:57501,1
Q580E2,CHEBI:30616,1
O88370,CHEBI:30616,1
Q71RI9,CHEBI:57959,1
Q9FYR6,CHEBI:60039,1
P11150,CHEBI:17855,1
V9GXP9,CHEBI:30616,1
Q97U29,CHEBI:30616,1
P9WKG9,CHEBI:58262,1
Q64581,C00535,1
A0A087LEM1,CHEBI:58349,1
Q9FMV7,CHEBI:57783,1
Q2QLV9,CHEBI:58011,1
P17649,CHEBI:16810,1
P32171,CHEBI:17897,1
Q5B440,CHEBI:17544,1
P30140,CHEBI:59789,1
P9WQ39,CHEBI:18325,1
P53115,C00002,1
P54114,CHEBI:57540,1
H9G2Y7,C00002,1
P08631,C00002,1
Q06518,CHEBI:32682,1
Q9Z1N1,CHEBI:32966,1
Q6IB77,CHEBI:57369,1
Q46856,CHEBI:57540,1
Q1JUP5,CHEBI:17100,1
Q9ZUC1,C00005,1
Q80UP3,CHEBI:30616,1
Q9Z0S1,CHEBI:58343,1
Q9FZ42,CHEBI:15734,1
Q9K4B1,CHEBI:57980,1
P47143,CHEBI:16335,1
Q7X284,CHEBI:58044,1
Q19202,CHEBI:58223,1
O88813,CHEBI:32395,1
P77390,CHEBI:30089,1
Q9V3U0,CHEBI:30616,1
Q03557,CHEBI:30616,1
P0A955,CHEBI:57569,1
Q9QY01,C00002,1
Q12463,C00019,1
P00533,C00002,1
Q9M8Z7,CHEBI:27693,1
Q9ZP54,C00003,1
Q86ZR7,CHEBI:58380,1
V9M398,CHEBI:57540,1
P15877,CHEBI:16389,1
G5EB65,CHEBI:58349,1
P9WN39,CHEBI:30616,1
P21269,C00002,1
O88351,CHEBI:30616,1
P9WJ03,C00283,1
P53630,CHEBI:30616,1
A0A0H3LHU4,CHEBI:30616,1
P19440,CHEBI:57925,0
Q2QLV9,CHEBI:58756,1
D3XD96,CHEBI:58052,1
A1JHG0,CHEBI:17045,1
P15101,CHEBI:59905,1
P38088,CHEBI:30616,1
Q9M0X9,CHEBI:57384,1
O13983,C00002,1
C7Q942,C00026,1
P0AB77,CHEBI:57305,1
P31941,CHEBI:15698,1
Q653T6,CHEBI:175763,1
Q39021,C00017,1
P9WKJ5,CHEBI:11424,1
Q8LPK5,CHEBI:18246,1
O43716,CHEBI:58359,1
P41814,C00019,1
Q86KF9,CHEBI:30616,1
P9WNP5,CHEBI:57364,1
P16692,CHEBI:68687,1
Q9UUK2,C00024,1
O15530,C00002,1
Q8RQQ0,CHEBI:57945,1
P0CX81,CHEBI:18421,1
P0ACV2,CHEBI:60365,1
Q9P2J5,CHEBI:30616,1
P49674,C00002,1
P06151,C01432,0
P20447,C00002,1
F6JSQ7,C00002,1
P21373,CHEBI:30616,1
Q03096,CHEBI:37565,1
Q8I2S7,CHEBI:58349,0
P34152,C00002,1
P0AFK6,CHEBI:30616,1
Q9UBQ6,CHEBI:57705,1
F1QNF8,CHEBI:58052,1
Q8VC30,CHEBI:30616,1
O88202,CHEBI:36707,1
P14900,CHEBI:83898,1
Q03786,CHEBI:18391,0
P19955,CHEBI:16810,1
O59819,CHEBI:46398,1
Q23221,CHEBI:57394,1
P43341,CHEBI:78847,1
Q5E924,CHEBI:43474,1
P9WNF9,CHEBI:57783,1
P51635,CHEBI:17587,1
P04693,CHEBI:16810,1
Q55320,CHEBI:58289,1
Q8BQ86,C00053,1
O60135,C00249,1
Q9UBP6,CHEBI:59789,0
Q7M3F7,CHEBI:30616,1
Q9Z0F5,CHEBI:16113,1
Q8MR70,CHEBI:57384,1
Q9RS96,C00001,1
A0A0R4IPA8,CHEBI:30616,0
Q80SW1,CHEBI:57856,1
P61887,CHEBI:58601,1
F1QSA2,CHEBI:1722,1
P11497,CHEBI:30616,1
Q38AZ2,CHEBI:57880,1
O14975,C00002,1
F4J849,CHEBI:57945,1
C3JXY0,CHEBI:30616,1
P24483,CHEBI:58349,1
P24785,C00002,1
Q04066,CHEBI:58629,1
Q9BPW9,CHEBI:57540,1
Q9FYR6,CHEBI:30616,1
Q9SI52,CHEBI:30616,1
Q9C942,CHEBI:17389,1
Q9JM51,CHEBI:57405,1
A0A1D8PP08,CHEBI:57844,1
P53914,C00024,1
J3QMK6,CHEBI:17478,1
P21373,CHEBI:57540,1
P04803,CHEBI:57912,1
Q5A8Z4,CHEBI:18421,1
Q5GA22,CHEBI:17268,0
Q9BPW9,CHEBI:35681,1
Q58167,CHEBI:15636,1
P75864,C00019,0
Q9U2Z2,CHEBI:33853,1
P09172,CHEBI:38290,1
P15454,CHEBI:30616,1
P0A8Q3,CHEBI:16374,1
O04083,CHEBI:35759,1
P36776,C00002,1
Q9XZT6,CHEBI:30616,1
P21372,C00002,1
D2XV59,CHEBI:37565,1
